Category (Col. 1),Name of the Undertaking (Col. 2),No. of breakdowns during the quarter ending - June 1970 (Col. 3),No. of breakdowns during the quarter ending - Sept. 1970 (Col. 4),No. of breakdowns during the quarter ending - Dec. 1970 (Col. 5),No. of breakdowns during the quarter ending - March 1971 (Col. 6),No. of breakdowns per 10000 G. Kms. During the quarter ending - June 1970 (Col. 7),No. of breakdowns per 10000 G. Kms. During the quarter ending - Sept. 1970 (Col. 8),No. of breakdowns per 10000 G. Kms. During the quarter ending - Dec. 1970 (Col. 9),No. of breakdowns per 10000 G. Kms. During the quarter ending - March 1971 (Col. 10),Note of No. of breakdowns during the quarter ending - Sept. 1970,Note of No. of breakdowns during the quarter ending - Dec. 1970,Note of No. of breakdowns during the quarter ending - March 1971,Note of No. of breakdowns per 10000 G. Kms. During the quarter ending - Sept. 1970,Note of No. of breakdowns per 10000 G. Kms. During the quarter ending - Dec. 1970,Note of No. of breakdowns per 10000 G. Kms. During the quarter ending - March 1971
A. City Passenger Services,"APSRTC, Hyderabad",1206,1165,1152,1497,2.11,1.94,1.94,2.58,NA,NA,NA,NA,NA,NA
A. City Passenger Services,"CSTC, Calcutta",24962,22147,24850,19675,33.84,35.85,37.84,33.63,NA,NA,NA,NA,NA,NA
A. City Passenger Services,"DTC, Delhi",23274,23199,20684,19867,17.32,17.41,15.86,14.27,NA,NA,NA,NA,NA,NA
A. City Passenger Services,"KSRTC, Trivandrum",408,368,523,482,2.2,1.7,2.4,2.1,NA,NA,NA,NA,NA,NA
A. City Passenger Services,"MYSRTC, Bangalore",2219,2118,2324,2311,4,3.81,4.16,4.23,NA,NA,NA,NA,NA,NA
A. City Passenger Services,"AMTS, Ahmedabad",6398,7172,6962,5816,9.02,9.92,9.41,8.14,NA,NA,NA,NA,NA,NA
A. City Passenger Services,"BESTU, Bombay",11872,11993,12305,9849,5.26,5.1,5.38,4.24,NA,NA,NA,NA,NA,NA
A. City Passenger Services,"PMTS, Poona",914,967,1205,974,2.2,2.15,2.69,2.12,NA,NA,NA,NA,NA,NA
A. City Passenger Services,"CTU, Chandigarh",7,345,235,222,0.08,3.4,2.25,2.35,NA,NA,NA,NA,NA,NA
A. City Passenger Services,"TSTD, Madras*",31667,28740,24271,20170,8.3,7.4,6.1,4.8,NA,NA,NA,NA,NA,NA
A. City Passenger Services,"UPGR, Lucknow",243,486,157,151,0.78,1.06,0.39,0.3,NA,*,*,NA,*,*
A. City Passenger Services,"J&KGTU, Srinagar*",3,4,5,6,0.06,0.07,0.08,0.11,NA,NA,NA,NA,NA,NA
A. City Passenger Services,Total-City Services,103173,98704,94673,81020,0.92,0.87,0.83,0.7,NA,NA,NA,NA,NA,NA
B. District Passenger Services,"APSRTC, Hyderabad",1505,1760,2010,2514,0.36,0.41,0.46,0.55,NA,NA,NA,NA,NA,NA
B. District Passenger Services,"A & MSRTC, Gauhati*",165,120,125,330,0.43,0.34,0.35,0.91,NA,NA,NA,NA,NA,NA
B. District Passenger Services,"BSRTC, Patna",2857,2960,2758,2330,1.89,1.98,1.81,1.59,NA,NA,NA,NA,NA,NA
B. District Passenger Services,"GSRTC, Ahmedabad",2312,2247,3945,6035,0.35,0.46,0.64,0.84,NA,NA,NA,NA,NA,NA
