Category (Col. 1),Name of the Undertaking (Col. 2),Total Number of Accidents during the quarter ending - June 1970 (Col. 3),Total Number of Accidents during the quarter ending - Sept. 1970 (Col. 4),Total Number of Accidents during the quarter ending - Dec. 1970 (Col. 5),Total Number of Accidents during the quarter ending - March 1971 (Col. 6),Accidents per lakh gross kilometres during the quarter ending - June 1970 (Col. 7),Accidents per lakh gross kilometres during the quarter ending - Sept. 1970 (Col. 8),Accidents per lakh gross kilometres during the quarter ending - Dec. 1970 (Col. 9),Accidents per lakh gross kilometres during the quarter ending - March 1971 (Col. 10),Note of Total Number of Accidents during the quarter ending - Sept. 1970,Note of Total Number of Accidents during the quarter ending - Dec. 1970,Note of Total Number of Accidents during the quarter ending - March 1971,Note of Accidents per lakh gross kilometres during the quarter ending - Sept. 1970,Note of Accidents per lakh gross kilometres during the quarter ending - Dec. 1970,Note of Accidents per lakh gross kilometres during the quarter ending - March 1971
A. City Services,"APSRTC, Hyderabad",57,37,54,51,0.99,0.62,0.91,0.88,NA,NA,NA,NA,NA,NA
A. City Services,"CSTC, Calcutta",159,112,127,101,2.16,1.81,1.93,1.72,NA,NA,NA,NA,NA,NA
A. City Services,"DTC, Delhi",254,236,268,244,1.88,1.77,2.05,1.75,NA,NA,NA,NA,NA,NA
A. City Services,"KSRTC, Trivandrum",40,18,54,48,1.8,0.9,2.5,2.1,NA,NA,NA,NA,NA,NA
A. City Services,"MYSRTC, Bangalore",78,76,88,57,1.41,1.36,1.58,1.04,NA,NA,NA,NA,NA,NA
A. City Services,"AMTS, Ahmedabad",364,314,299,260,5.13,4.34,4.04,3.64,NA,NA,NA,NA,NA,NA
A. City Services,"BESTU, Bombay",2864,3008,2815,2570,12.71,12.84,12.21,11.06,NA,NA,NA,NA,NA,NA
A. City Services,"PMTS, Poona",124,133,139,136,3,2.96,3.19,3.05,NA,NA,NA,NA,NA,NA
A. City Services,"CTU, Chandigarh",5,16,14,7,0.56,1.58,1.34,0.7,NA,NA,NA,NA,NA,NA
A. City Services,"TSTD, Madras",1037,1094,1032,932,2.73,2.81,2.57,2.25,NA,NA,NA,NA,NA,NA
A. City Services,"UPGR, Lucknow",46,24,35,31,1.04,0.55,0.86,0.72,NA,*,*,NA,*,*
A. City Services,"J&KGTU, Srinagar*",10,9,12,5,0.21,0.15,0.2,0.09,NA,NA,NA,NA,NA,NA
A. City Services,Total-For City Passenger Services,5038,5077,4937,4442,4.5,4.48,4.33,3.85,NA,NA,NA,NA,NA,NA
B. District Passenger Services,"APSRTC, Hyderabad",187,151,156,137,0.45,0.36,0.36,0.3,NA,NA,NA,NA,NA,NA
B. District Passenger Services,"A & MSRTC, Gauhati*",11,6,5,4,0.28,0.17,0.14,0.11,NA,NA,NA,NA,NA,NA
B. District Passenger Services,"BSRTC, Patna",20,27,31,33,0.13,0.18,0.2,0.23,NA,NA,NA,NA,NA,NA
B. District Passenger Services,"GSRTC, Ahmedabad",246,290,283,329,0.53,0.6,0.46,0.46,NA,NA,NA,NA,NA,NA
