Category (Col. 1),Sub-Category (Col. 2),Name of the Undertaking (Col. 3),State Govts. (Col. 4),Central Govt. (Col. 5),Others (Col. 6),Borrowings from Banks (Col. 7),Total (Col. 8)
A. Passenger Transport,(i) City Services,"TSTD, Madras*",88.99,NA,104.82,NA,15.83
A. Passenger Transport,(i) City Services,"CSTC, Calcutta",300,NA,NA,50,350
A. Passenger Transport,(i) City Services,"AMTS, Ahmedabad",NA,NA,NA,29.79,29.79
A. Passenger Transport,(i) City Services,"BESTU, Bombay",NA,NA,NA,73.79,73.79
A. Passenger Transport,(i) City Services,"DMTS, Durgapur",4.72,NA,NA,NA,4.72
A. Passenger Transport,(i) City Services,"PMTS, Poona",NA,NA,NA,25.3,25.3
A. Passenger Transport,(i) City Services,"SMTS, Sholapur",NA,NA,NA,1.5,1.5
A. Passenger Transport,(i) City Services,"DTC, Delhi",NA,183.15,NA,NA,183.15
A. Passenger Transport,(i) City Services,"KMTS, Kolhapur",NA,NA,NA,NA,NA
A. Passenger Transport,(i) City Services,"CTU, Chandigarh",NA,NA,NA,NA,NA
A. Passenger Transport,(ii) District Services,"GSRTC, Ahmedabad",100,25,135.38,NA,260.38
A. Passenger Transport,(ii) District Services,"BSRTC, Patna",50,30,NA,NA,80
A. Passenger Transport,(ii) District Services,"MPSRTC, Bairagarh",58.8,25,NA,NA,83.8
A. Passenger Transport,(ii) District Services,"MSRTC, Bombay",76,38,454.8,NA,568.8
A. Passenger Transport,(ii) District Services,"PRTC, Patiala",108.5,3.11,8.34,NA,119.95
A. Passenger Transport,(ii) District Services,"HGTS, Chandigarh",173.32,NA,NA,71.06,244.38
A. Passenger Transport,(ii) District Services,"STSO, Cuttack",13.78,NA,NA,NA,13.78
A. Passenger Transport,(ii) District Services,"PGTS, Chandigarh*",160.76,NA,NA,NA,160.76
A. Passenger Transport,(ii) District Services,"NST, Dimapur",17.44,NA,NA,NA,17.44
A. Passenger Transport,(ii) District Services,"RSRTC, Jaipur",5,2.5,31.78,NA,39.28
A. Passenger Transport,(ii) District Services,"STS, A & N Islands",NA,2.22,NA,NA,2.22
A. Passenger Transport,(ii) District Services,"ORTC, Berhampur",NA,NA,17.06,NA,17.06
A. Passenger Transport,(iii) City-cum-District Services,"APSRTC, Hyderabad",60.28,NA,332.83,5,388.11
A. Passenger Transport,(iii) City-cum-District Services,"KSRTC, Trivandrum",60,81.67,NA,13.78,155.45
A. Passenger Transport,(iii) City-cum-District Services,"MySRTC, Bangalore",NA,15,20.21,220,255.21
B. Passenger-cum-Goods Transport,B. Passenger-cum-Goods Transport,"NBSTC, Cooch-Behar",3,NA,NA,NA,3
B. Passenger-cum-Goods Transport,B. Passenger-cum-Goods Transport,"MKRTC, Mandi",NA,NA,NA,NA,NA
B. Passenger-cum-Goods Transport,B. Passenger-cum-Goods Transport,"A & MSRTC, Gauhati",64.75,25,NA,NA,89.75
B. Passenger-cum-Goods Transport,B. Passenger-cum-Goods Transport,"J & KGTU, Srinagar",35.4,NA,NA,NA,35.4
B. Passenger-cum-Goods Transport,B. Passenger-cum-Goods Transport,"UPGR, Lucknow",123.75,NA,NA,NA,123.75
B. Passenger-cum-Goods Transport,B. Passenger-cum-Goods Transport,"HGT, Simla",11.18,NA,NA,NA,11.18
B. Passenger-cum-Goods Transport,B. Passenger-cum-Goods Transport,"MSTD, Imphal",NA,70.94,NA,NA,70.91
C. Goods Transport,C. Goods Transport,"CRTC, Calcutta",2,15,NA,NA,17
