Items (Col. 1),Category (Col. 2),Sub-category (Col. 3),Type of Service/Name of Undertaking (Col. 4),Fleet operated (Col. 5),Seating capacity per bus (Col. 6),Total seating capacity of fleet operated (Col. 7),Effective kilometres (in lakhs) (Col. 8),Gross kilometres (In lakhs) (Col. 9),Note of Seating capacity per bus
A. Passenger Transport,1. City Services,1. City Services,"APSRTC, Hyderabad",349,54,18846,227.57,234.81,NA
A. Passenger Transport,1. City Services,1. City Services,"AMTS, Ahmedabad",436,59,25724,276.52,288.6,NA
A. Passenger Transport,1. City Services,1. City Services,"J&KGTU, Srinagar*",42,46,1932,21.5,22.15,NA
A. Passenger Transport,1. City Services,1. City Services,"KSRTC, Trivandrum",178,61,10858,85.69,87.69,NA
A. Passenger Transport,1. City Services,1. City Services,"TSTD, Madras*",1700,61,103700,1578.29,1583.93,NA
A. Passenger Transport,1. City Services,1. City Services,"BESTU, Bombay",1130,70,79100,903.1,922.18,NA
A. Passenger Transport,1. City Services,1. City Services,"PMTS, Poona",260,50,13000,172.38,176.8,NA
A. Passenger Transport,1. City Services,1. City Services,"MySRTC, Bangalore",334,61,20374,208.35,221.39,NA
A. Passenger Transport,1. City Services,1. City Services,"UPGR, Lucknow*",298,49,14602,161.28,169.66,NA
A. Passenger Transport,1. City Services,1. City Services,"CSTC, Calcutta",462,99,45738,239.66,259.71,NA
A. Passenger Transport,1. City Services,1. City Services,"CTU, Chandigarh",47,54,2538,37.53,39.52,NA
A. Passenger Transport,1. City Services,1. City Services,"DTC, Delhi",902,63,56826,530.77,538.3,NA
A. Passenger Transport,2. District Services,(a) District-Plain Services,"APSRTC, Hyderabad",1744,47,81968,1699.4,1731.46,NA
A. Passenger Transport,2. District Services,(a) District-Plain Services,"A&MSRTC, Gauhati",227,39,8853,153.5,154.56,NA
A. Passenger Transport,2. District Services,(a) District-Plain Services,"BSRTC, Patna",774,58,44892,576.8,598.3,NA
A. Passenger Transport,2. District Services,(a) District-Plain Services,"GSRTC, Ahmedabad",3282,61,200202,2453.3,2482.6,NA
A. Passenger Transport,2. District Services,(a) District-Plain Services,"HGTS, Chandigarh",972,53,51516,732.89,748.29,NA
A. Passenger Transport,2. District Services,(a) District-Plain Services,"J&KGTU, Srinagar*",162,45,7290,69.58,71.14,NA
A. Passenger Transport,2. District Services,(a) District-Plain Services,"KSRTC, Trivandrum",1089,48,52272,960,970.72,NA
A. Passenger Transport,2. District Services,(a) District-Plain Services,"MPSRTC, Bairagarh",1486,53,78758,1067.16,1083.94,NA
A. Passenger Transport,2. District Services,(a) District-Plain Services,"MSRTC, Bombay",4926,61,300486,3933.42,3968.82,NA
