Items (Col. 1),Category (Col. 2),Sub-category (Col. 3),Type of Service/Undertaking (Col. 4),Break-downs - Total No. (Col. 5),Break-downs - Per vehicle Operated (Col. 6),Break-downs - Per 10000 Vehicle Kms. (Col. 7),Accidents - Total No. (Col. 8),Accidents - Per Vehicle Operated (Col. 9),Accidents - Per 10000 Vehicle (Col. 10),Dead Kms. - Total (000) (Col. 11),Dead Kms. - Per vehicle Operated (Col. 12),Lack of Punctuality - % of dalayed trips to total sch. Trips (Col. 13),Lack of Punctuality - % of missed to total Sch. Trips (Col. 14)
A. Passenger Transport,1. City Services,1. City Services,"APSRTC, Hyderabad",5020,14.38,2.14,199,0.57,0.08,724,2.07,NA,7.99
A. Passenger Transport,1. City Services,1. City Services,"AMTS, Ahmedabad",26348,60.43,9.13,1237,2.84,0.43,1208,2.77,NA,3.6
A. Passenger Transport,1. City Services,1. City Services,"J&KGTU, Srinagar*",21941,50.32,8.32,1279,2.93,0.48,65,1.55,1,2.12
A. Passenger Transport,1. City Services,1. City Services,"KSRTC, Trivandrum",1871,10.05,2.13,160,0.9,0.02,200,1.12,8.97,11.33
A. Passenger Transport,1. City Services,1. City Services,"TSTD, Madras",104848,61.71,6.64,4095,2.41,0.26,564,0.33,1.3,4.7
A. Passenger Transport,1. City Services,1. City Services,"BESTU, Bombay",46019,40.72,4.99,11257,9.96,1.22,1908,1.69,3.38,5.8
A. Passenger Transport,1. City Services,1. City Services,"PMTS, Poona",4060,15.61,2.36,532,2.05,0.3,442,1.7,NA,2.6
A. Passenger Transport,1. City Services,1. City Services,"MySRTC, Bangalore",8972,26.86,4.05,299,0.89,0.14,1304,3.9,NA,11.53
A. Passenger Transport,1. City Services,1. City Services,"UPGR, Lucknow",620,2.12,0.38,161,0.55,0.1,838,2.87,4.2,17.5
A. Passenger Transport,1. City Services,1. City Services,"CSTC, Calcutta",91634,198.34,35.28,499,1.08,0.19,2005,4.33,17.92,17.2
A. Passenger Transport,1. City Services,1. City Services,"CTU, Chandigarh",809,19.88,2.05,42,0.89,0.11,199,4.23,NA,1
A. Passenger Transport,1. City Services,1. City Services,"DTC, Delhi",87024,96.48,16.17,1002,1.11,0.19,753,0.83,NA,17.9
A. Passenger Transport,2. District Services,(a) District-Plain Services,"APSRTC, Hyderabad",7789,4.47,0.45,631,0.36,0.04,3206,1.84,2.04,6.14
A. Passenger Transport,2. District Services,(a) District-Plain Services,"A&MSRTC, Gauhati*",740,3.26,0.48,26,0.11,0.02,106,0.47,NA,NA
A. Passenger Transport,2. District Services,(a) District-Plain Services,"BSRTC, Patna",10905,14.09,1.82,111,0.15,0.02,2150,2.78,7.39,36
A. Passenger Transport,2. District Services,(a) District-Plain Services,"GSRTC, Ahmedabad",14539,4.43,0.58,1148,0.35,0.05,2930,0.89,9.01,6
A. Passenger Transport,2. District Services,(a) District-Plain Services,"HGTS, Chandigarh",974,1,0.13,145,0.15,0.02,1540,1.56,0.24,1
A. Passenger Transport,2. District Services,(a) District-Plain Services,"J&KGTU, Srinagar*",54,0.38,0.08,34,0.24,0.05,156,2.89,1.29,2.17
A. Passenger Transport,2. District Services,(a) District-Plain Services,"KSRTC, Trivandrum",19819,18.19,2.04,2207,2.03,0.23,1072,0.98,21.62,12.58
A. Passenger Transport,2. District Services,(a) District-Plain Services,"MPSRTC, Bairagarh",12249,8.23,1.13,282,0.19,0.03,1678,1.3,NA,9.78
A. Passenger Transport,2. District Services,(a) District-Plain Services,"MSRTC, Bombay",33565,6.81,0.85,2341,0.48,0.06,3500,0.71,7.21,4.9
