Category (Col. 1),State/ Union Territory (Col. 2),All types of vehicles (Col. 3),Motor Cycles (Col. 4),Auto-rickshaws (Col. 5),Jeeps (Col. 6),Motor Cars (Col. 7),Motor Cabs (Col. 8),Buses (Col. 9),Goods Vehicles (Col. 10),Misc. vehicles (Col. 11)
State,Andhra Pradesh,28.32,7.1,100.87,33.64,4.11,112.58,92.29,5.89,29.99
State,Assam,14.59,6.22,102.56,18.23,10.5,43.48,40.99,14.71,10.77
State,Bihar,52.95,14.8,270.97,46.18,31.34,108.01,79.83,86.58,143.45
State,Gujarat,28.34,6.89,42.87,23.42,13.59,153.39,122.42,43.9,40.23
State,Jammu & Kashmir,426.49,5500,NA,3000,NA,1391.3,178.74,352.42,NA
State,Kerala,50.08,15.48,176.08,65.04,24.63,89.62,129.82,64.88,61.01
State,Maharashtra,131.99,26.32,136.66,73.12,130.07,310.34,699.97,133.18,177.25
State,Mysore,45.31,14.86,76.71,35.91,25.64,181.78,117.57,93.26,54.41
Union Territory,Pondicherry,51.44,24.67,937.5,89.11,22.51,236.84,303.03,159.48,46.91
Union Territory,"Goa, Daman & Diu",62.84,43.93,64.52,NA,34.1,NA,102.58,57.52,NA
Union Territory,Chandigarh,17.51,3.54,6.08,64.75,21.28,NA,125,372.55,132.53
Union Territory,Delhi,37.69,12.09,45.89,NA,30.17,145.76,318.24,101.03,NA
Union Territory,Tripura,65.93,55.02,500,75.02,57.92,64.94,118.96,56.08,75.43
