Country (Col.1),Year (Col.2),Total No. of accidents involving injuries to persons (Col.3),No. injured and killed in road accidents/ casualities - Injured (Col.4),No. injured and killed in road accidents/ casualities - Killed (Col.5),No. injured and killed in road accidents/ casualities - Total (Col.6),Note of Total No. of accidents involving injuries to persons,Note of No. injured and killed in road accidents/ casualities - Injured,Note of No. injured and killed in road accidents/ casualities - Killed
Australia,1968,58759,82210,3382,85592,NA,NA,NA
Australia,1969,NA,NA,3503,NA,NA,NA,NA
Australia,1970,NA,NA,NA,NA,NA,NA,NA
Austria,1968,48963,68492,2157,70649,NA,NA,NA
Austria,1969,50189,70206,2071,72277,NA,NA,NA
Austria,1970,51542,72552,2221,74773,NA,NA,NA
Canada,1968,115406,173901,5318,179219,NA,NA,NA
Canada,1969,120434,180829,5425,186254,NA,NA,NA
Canada,1970,333652,52071,1619,53690,(a),NA,NA
Ceylon,1968,14549,7739,598,8337,NA,NA,NA
Ceylon,1969,17038,8903,621,9524,NA,NA,NA
Ceylon,1970,17448,9325,661,9986,NA,NA,NA
Czechoslovakia,1968,36300,45751,2353,48104,NA,NA,NA
Czechoslovakia,1969,38028,48235,2504,50739,NA,NA,NA
Czechoslovakia,1970,33463,41469,2199,43668,NA,NA,NA
France,1968,220201,312313,14274,326587,NA,NA,NA
France,1969,220618,311273,14664,325937,NA,NA,NA
France,1970,228600,322200,15050,337250,NA,NA,NA
West Germany,1968,339704,468718,16636,485354,NA,NA,NA
West Germany,1969,338921,472387,16646,489033,NA,NA,NA
West Germany,1970,376520,530231,19123,549354,NA,NA,NA
Great Britain,1968,264200,342398,6810,349208,NA,NA,NA
Great Britain,1969,261778,345811,7383,353194,NA,NA,NA
Great Britain,1970,NA,355852,7501,363353,NA,NA,NA
Italy,1968,178173,234039,9809,243848,NA,NA,NA
Italy,1969,175780,230809,9891,240700,NA,NA,NA
Italy,1970,NA,220000,9300,229300,NA,NA,NA
Japan,1968,635056,828071,14246,842317,NA,NA,NA
Japan,1969,720880,967000,16257,938257,NA,NA,NA
Japan,1970,718080,981096,16765,997861,NA,NA,NA
Poland,1968,22209,29442,3424,32866,NA,NA,NA
Poland,1969,24037,31917,3418,35335,NA,NA,NA
Poland,1970,26414,34398,3446,37844,NA,NA,NA
USA,1968,1346800,2000000,55200,2055200,NA,NA,NA
USA,1969,1347600,2000000,56400,2056400,NA,NA,NA
USA,1970,NA,NA,NA,NA,NA,NA,NA
